frame_idx,state,path_id,path_index,path_s,match_distance_px,angle_error_deg,signed_angle_error_deg
341,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
342,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
343,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
344,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
345,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
346,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
347,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
348,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
349,tracking,0,762,724.3382,8.729469453,12.74305511,12.74305511
350,tracking,0,796,747.8329,6.722012577,9.888074821,9.888074821
351,tracking,0,797,748.6947,6.285428828,8.47795271,8.47795271
352,tracking,0,797,748.6947,6.285428828,8.668989959,8.668989959
353,tracking,0,797,748.6947,6.285428828,8.668989959,8.668989959
354,tracking,0,797,748.6947,6.285428828,8.668989959,8.668989959
355,tracking,0,797,748.6947,6.285428828,8.668989959,8.668989959
356,tracking,0,797,748.6947,6.285428828,8.668989959,8.668989959
357,tracking,0,797,748.6947,6.285428828,8.668989959,8.668989959
358,tracking,0,797,748.6947,6.285428828,8.668989959,8.668989959
359,tracking,0,797,748.6947,6.285428828,8.668989959,8.668989959
360,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
361,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
362,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
363,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
364,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
365,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
366,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
367,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
368,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
369,tracking,0,822,769.3115,8.37247724,7.136914337,7.136914337
370,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
371,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
372,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
373,tracking,0,835,779.5798,6.854860953,6.065742891,6.065742891
